id_usuario,latitude_produtor,longitude_produtor,nota,tipo
527,-15.967185379868843,-47.74443051233905,6,Real
66,-15.845077432467845,-48.09006298752325,7,Real
9,-15.784649282288255,-47.66375932263911,5,Real
282,-15.834538486791782,-48.18555947267396,7,Real
847,-15.881515588082818,-48.14501797943107,9,Real
150,-15.867811159057172,-48.23501079018999,7,Real
508,-15.845077432467845,-48.09006298752325,8,Real
540,-15.818309446012448,-47.92109802601978,5,Real
116,-16.005180112461105,-48.02607959556015,7,Real
186,-15.845077432467845,-48.09006298752325,8,Real
340,-15.967185379868843,-47.74443051233905,6,Real
482,-15.918237147468776,-48.152998269411306,7,Real
568,-15.94019852371591,-48.10575213416886,6,Real
943,-16.02210635940884,-47.986225204278774,10,Real
453,-15.918237147468776,-48.152998269411306,9,Real
389,-15.480836250049698,-47.63352713148677,10,Real
154,-15.62779297528241,-48.174758288040636,9,Real
485,-16.005180112461105,-48.02607959556015,8,Real
719,-15.413159337375612,-47.61419280854606,7,Real
182,-15.794457042884106,-48.24443154256446,5,Real
86,-15.562076877111464,-47.83444173384607,5,Real
749,-15.891105816817026,-47.97583200232041,9,Real
239,-15.967185379868843,-47.74443051233905,4,Real
974,-15.807068838177504,-47.93713797326396,6,Real
594,-15.807068838177504,-47.93713797326396,4,Real
496,-15.967185379868843,-47.74443051233905,3,Real
285,-15.955531421279407,-47.93264305083946,4,Real
193,-15.413159337375612,-47.61419280854606,9,Real
766,-15.94019852371591,-48.10575213416886,6,Real
818,-15.62779297528241,-48.174758288040636,5,Real
562,-15.96778843226439,-47.797184580201986,10,Real
149,-15.970282672946103,-48.202978080533384,8,Real
145,-15.789305179965645,-48.213228904466675,8,Real
946,-16.005180112461105,-48.02607959556015,5,Real
448,-15.967185379868843,-47.74443051233905,6,Real
801,-15.908095038243532,-48.14236215194033,9,Real
552,-15.867929822620473,-48.18893076946422,4,Real
583,-15.967185379868843,-47.74443051233905,10,Real
865,-15.784649282288255,-47.66375932263911,6,Real
271,-16.02210635940884,-47.986225204278774,6,Real
536,-15.680229711329549,-48.19129696202176,8,Real
524,-15.867811159057172,-48.23501079018999,5,Real
287,-15.970282672946103,-48.202978080533384,10,Real
35,-15.867811159057172,-48.23501079018999,9,Real
299,-16.030156516084975,-48.03290949574748,6,Real
788,-16.022445866016103,-47.97128780260604,8,Real
644,-15.413159337375612,-47.61419280854606,9,Real
686,-15.918237147468776,-48.152998269411306,9,Real
29,-15.891105816817026,-47.97583200232041,9,Real
804,-15.881515588082818,-48.14501797943107,9,Real
552,-15.960984898708181,-48.11559622169974,3,Real
101,-15.739492578308576,-47.64160937907283,8,Real
615,-15.918237147468776,-48.152998269411306,7,Real
671,-15.794457042884106,-48.24443154256446,10,Real
895,-15.845077432467845,-48.09006298752325,5,Real
663,-15.867811159057172,-48.23501079018999,10,Real
13,-15.815543074509781,-47.98757000084461,8,Real
940,-16.02210635940884,-47.986225204278774,9,Real
487,-15.834538486791782,-48.18555947267396,7,Real
552,-15.967185379868843,-47.74443051233905,9,Real
